# ----------------------------------------
# User acquisition: First user primary channel group (Default channel group)
# Account: Potiki
# Property: Potiki Pet Insurance - Main - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260201
# End date: 20260516
First user primary channel group (Default channel group),Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Organic Search,3249,3207,404,92.12530864197531,0.754320987654321,22943,2251,0.13641975308641976
Direct,2471,2421,91,28.298616761594793,0.4406021155410903,13048,418,0.047192839707078924
Referral,441,431,54,139.80227272727274,1.0636363636363637,4992,784,0.8545454545454545
Paid Other,330,330,43,3.3212121212121213,0.4303030303030303,1638,71,0.012121212121212121
Paid Social,291,285,23,37.048442906574394,0.4463667820069204,1749,287,0.27335640138408307
Paid Search,191,185,15,58.420212765957444,0.5,1202,139,0.2074468085106383
Organic Social,184,183,3,13.375,0.28804347826086957,768,58,0.09239130434782608
Email,24,22,4,206.43478260869566,0.8695652173913043,205,4,0.17391304347826086
Unassigned,24,24,1,71.375,0.6666666666666666,176,25,0.20833333333333334
Cross-network,9,5,1,28,0.6666666666666666,56,2,0.16666666666666666
Display,1,1,0,0,0,3,0,0
